locked,name,emptySlots,longitude,installed,latitude,temporary,@ID,bikesAvailable
false,"Royal Avenue 2, Chelsea",9,-0.162418,true,51.490083,false,280,1
false,"Bedford Way, Bloomsbury",12,-0.128377673,true,51.52367314,false,287,11
false,"
      St. John's Wood Road, St. John's Wood
    ",21,-0.174653609,true,51.5272947,false,286,13
false,"Lambeth North Station, Waterloo",9,-0.112031483,true,51.49914063,false,284,10
false,"Kensington Gore, Knightsbridge",19,-0.178656971,true,51.50143293,false,258,4
false,"Embankment (Horse Guards), Westminster",20,-0.123247648,true,51.50494561,false,259,9
false,"Houghton Street, Strand",15,-0.116764211,true,51.51362054,false,256,0
false,"Westminster University, Marylebone",15,-0.154907218,true,51.52248185,false,257,1
false,"
      LSBU (Borough Road), Elephant & Castle
    ",11,-0.103132904,true,51.49874469,false,262,24
false,"St. Mary Axe, Aldgate",17,-0.080660083,true,51.51422502,false,263,3
false,"Broadwick Street, Soho",18,-0.135580879,true,51.5136846,false,260,0
false,"Princes Square, Bayswater",0,-0.191351186,true,51.5134891,false,261,16
false,"Queen's Gate (North), Kensington",14,-0.180246101,true,51.50102668,false,266,5
false,"Regency Street, Westminster",0,-0.132224622,true,51.49206037,false,267,21
false,"Tysoe Street, Clerkenwell",9,-0.109256828,true,51.52644342,false,264,11
false,"Southwick Street, Paddington",2,-0.169249375,true,51.51595344,false,265,15
false,"Kennington Lane Rail Bridge, Vauxhall",3,-0.122492418,true,51.4863434,false,270,32
false,"London Zoo, Regents Park",24,-0.156285395,true,51.53583617,false,271,6
false,"Belgrave Road, Victoria",0,-0.144132875,true,51.49320445,false,268,28
false,"Empire Square, The Borough",6,-0.089740764,true,51.50082346,false,269,39
false,"Kennington Lane Tesco, Vauxhall",0,-0.115853961,true,51.48677988,false,305,15
false,"Cumberland Gate, Hyde Park",4,-0.16209757,true,51.51211869,false,304,14
false,"Black Lion Gate, Kensington Gardens",3,-0.187842717,true,51.50990837,false,307,20
false,"Rathbone Street, Fitzrovia ",15,-0.135025698,true,51.51816295,false,306,0
false,"Embankment (Savoy), Strand",35,-0.119047563,true,51.50963123,false,309,6
false,"Long Lane , Bermondsey",1,-0.085666316,true,51.49907558,false,308,17
false,"Foley Street, Fitzrovia",21,-0.140485596,true,51.51918144,false,311,3
false,"Black Prince Road, Vauxhall",3,-0.116911864,true,51.4908679,false,310,15
false,"Wells Street, Fitzrovia ",37,-0.138072691,true,51.51734403,false,313,0
false,"Grove End Road, St. John's Wood",11,-0.176770502,true,51.53088935,false,312,9
false,"The Tennis Courts, Regent's Park",8,-0.153463612,true,51.52536703,false,315,7
false,"Tyers Gate, Bermondsey",3,-0.083159352,true,51.50088934,false,314,33
false,"Dickens Square, Borough",7,-0.093913472,true,51.49679128,false,317,23
